shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Linea_1,41.66985870807261,-3.686736887814732,84,7162.29932839289
Linea_1,41.66994294523798,-3.686197710222814,85,7208.053124706804
Linea_1,41.66998979602107,-3.6848616670096135,86,7319.14861060284
Linea_1,41.66988186721218,-3.684671369036181,87,7338.994736960635
Linea_1,41.66981079204379,-3.683889032922252,88,7404.455423798225
Linea_1,41.66970539645001,-3.683447044415061,89,7442.992813503982
Linea_1,41.66933422424458,-3.681625117519019,90,7599.852318987875
Linea_1,41.6692473538445,-3.681008411122889,91,7651.979995007427
Linea_1,41.668773755814215,-3.6792175678811816,92,7809.778347378803
Linea_1,41.67043893599933,-3.678816211067925,93,7997.9151368193925
Linea_1,41.670228344502135,-3.676902659221497,94,8158.5717562133705
Linea_1,41.67266068533888,-3.6775006549072486,95,8433.55861043984
